clinic_name,website_url,city,phone,email,google_rating,google_review_count,instagram_handle,instagram_followers,has_online_booking,has_whatsapp,has_financing,mentions_implants,mentions_invisalign,mentions_carillas,has_gallery,website_quality,multi_location,num_locations,icp_score,notes
Clínica dental en Castellbisbal – Tu dentista de confianza en Castellbisbal,https://www.artdental.es,Barcelona,676972867,info@art-dental.cat,0,0,@artdentalcastellbisbal,0,False,True,True,True,True,True,False,modern,True,2,80,Scraped: 2026-01-21
Inicio - Clínica dental Mataró,https://www.clinicadentalmataro.com,Barcelona,897133338,info@clinicadentalmataro.com,0,0,@clinicadentalmataro,0,False,True,True,True,True,True,False,modern,True,1,80,Scraped: 2026-01-21
Clínica Dental Terrassa Dr. Montané - Dentista Terrassa,https://www.terrassadental.com,Barcelona,937337866,info@clinicadentalmontane.com,0,0,@clinicadentalmontane,0,True,False,False,True,True,True,False,modern,True,2,80,Scraped: 2026-01-21
Clínica Dental Terrassa Dr. Montané - Dentista Terrassa,https://www.clinicadentalmontane.com,Barcelona,937337866,info@clinicadentalmontane.com,0,0,@clinicadentalmontane,0,True,False,False,True,True,True,False,modern,True,2,80,Scraped: 2026-01-21
"Clínicas Santident. Clínica Dental Picanya, Cheste y Paterna",https://www.santident.com,Barcelona,+34 961 084 636,info@santident.com,0,0,@santident.dental,0,False,True,False,True,True,True,True,modern,True,1,75,Scraped: 2026-01-21
Principal Página - Clinica Dental,https://www.clinicadentalbarceloneta.com,Barcelona,945080437,info@clinicadentalbarceloneta.com,0,0,@clinica_dental_barceloneta,0,False,True,False,True,True,True,True,modern,True,5,75,Scraped: 2026-01-21
"Contacto por WhatsApp | Misitio – Arenys de Mar, España",https://www.dentalmar.es,Barcelona,937959700,dentalmararenys@gmail.com,0,0,@dentalmararenys,0,False,True,False,True,True,True,True,modern,True,1,75,Scraped: 2026-01-21
Home - Instituto de Implantologia,https://www.institutoimplantologia.com,Barcelona,666666666,md@institutodeimplantologia.pt,0,0,@institutoimplantologia,0,False,True,False,True,True,True,True,modern,False,1,65,Scraped: 2026-01-21
"Dental Gracia – Tu sonrisa en las mejores manos en Vallecas – En Dental Gracia cuidamos tu salud bucal con profesionalidad, cercanía y tecnología de vanguardia. Tratamientos personalizados para que vuelvas a sonreír con confianza.",https://www.dentalgracia.com,Barcelona,+34919428529,,0,0,,0,True,False,False,True,True,True,True,modern,False,1,65,Scraped: 2026-01-21
Dentista en Barcelona | Pide tu Cita Ahora | CLÃNICA DENTAL TOP,https://www.dentistaenbarcelona.es,Barcelona,,,0,0,@cabecerandental,0,False,False,False,True,True,True,True,modern,False,1,60,Scraped: 2026-01-21
