company_name,company_description,hq_country,job_title,job_url,location,remote_policy,role_type,fit_score,notes
Isomorphic Labs,AI drug design platform,UK,Head of Pharma Partnerships,https://www.isomorphiclabs.com/careers,London,On-site,Partnerships,8,DeepMind spinout - pharma BD partnerships
TEKEVER,Maritime surveillance drones,Portugal,Business Development Manager Defence,https://www.tekever.com/careers,Lisbon / Remote,Hybrid,BD,8,Portugal HQ - defence and maritime BD
Isar Aerospace,Launch vehicles using AI,Germany,VP Commercial,https://www.isaraerospace.com/careers,Munich,On-site,GTM Leadership,7,Germany space - commercial launch contracts
Quantum Systems,Defence drones using AI,Germany,Head of Sales EMEA,https://quantum-systems.com/careers,Munich / Remote EU,Hybrid,GTM Leadership,8,German defence - EU defence partnerships
Parloa,AI voice automation for support,Germany,Enterprise Account Executive EMEA,https://www.parloa.com/careers,Berlin / Remote,Hybrid,BD,7,Germany AI voice - enterprise support sales
Lovable,AI front-end code generation,Sweden,Developer Partnerships Lead,https://lovable.dev/careers,Stockholm / Remote,Remote,Partnerships,8,Sweden dev tool - developer ecosystem
Legora,AI legal tech platform,Sweden,Head of Sales Nordics,https://legora.com/careers,Stockholm,Hybrid,GTM Leadership,7,Sweden legaltech - Nordic enterprise sales
Dream,Critical infrastructure cybersecurity,Israel,Regional Sales Director Europe,https://www.dream.security/careers,Remote EU,Remote,BD,7,Israel security - EU critical infrastructure
fal,Real-time AI inference engine,US,Partnerships Manager,https://fal.ai/careers,Remote,Remote,Partnerships,7,AI infrastructure - developer partnerships
Hippocratic AI,Safe medical LLMs,US,Head of Healthcare Partnerships,https://www.hippocratic.ai/careers,Remote,Remote,Partnerships,8,Healthcare AI - hospital and health system BD
Function Health,Healthcare platform,US,VP Growth,https://www.functionhealth.com/careers,Remote,Remote,GTM Leadership,7,Healthcare consumer - growth and retention
Kalshi,Regulated prediction markets,US,Head of Business Development,https://kalshi.com/careers,Remote,Remote,BD,6,Fintech - institutional and retail BD
Abridge,Clinical transcription AI,US,Strategic Partnerships Director Healthcare,https://www.abridge.com/careers,Remote,Remote,Partnerships,8,Clinical AI - EHR and health system partnerships
Mercor,AI talent matching marketplace,US,Head of Enterprise Sales,https://mercor.com/careers,Remote,Remote,GTM Leadership,7,AI recruiting - enterprise talent acquisition sales
ShopMy,Creator commerce storefronts,US,Partnerships Lead Brands,https://shopmy.us/careers,Remote,Remote,Partnerships,6,Creator economy - brand partnerships
Filevine,Legal case management AI,US,VP Sales,https://www.filevine.com/careers,Remote,Remote,GTM Leadership,6,Legaltech SaaS - law firm enterprise sales
Nourish,Nutrition telehealth with AI,US,Head of Partnerships Payers,https://www.nourishcare.com/careers,Remote,Remote,Partnerships,7,Healthtech - insurance and payer partnerships
